3.000,1.000
1.000,1.000
9.636,1.000
63.909,1.000
64.182,1.000
55.000,1.000
1.000,1.000
9.545,1.000
0.909,1.000
0.727,1.000
1.091,1.000
1.636,1.000
8.909,1.000
45.727,1.000
20.636,1.000
62.818,1.000
36.000,1.000
19.273,1.000
52.273,1.000
27.727,1.000
54.636,1.000
35.273,1.000
2.818,1.000
0.455,1.000
-1.727,1.000
-0.545,1.000
1.364,1.000
-0.909,1.000
0.455,1.000
-0.364,1.000
0.364,1.000
1.545,1.000
0.000,1.000
0.455,1.000
-0.818,1.000
1.455,1.000
0.091,1.000
3.364,1.000
0.091,1.000
2.182,1.000
-0.091,1.000
0.000,1.000
1.364,1.000
1.091,1.000
